date,open,close,high,low,volume
2016/10/26,17.262,17.256,17.329,17.009,24033
2016/10/27,17.322,17.362,17.582,17.209,39395
2016/10/28,17.229,17.409,17.496,17.209,33171
2016/10/31,17.496,17.209,17.542,17.196,28813
2016/11/1,17.089,17.309,17.449,17.089,28547
2016/11/2,17.262,17.289,17.396,17.142,26636
2016/11/3,17.316,17.889,18.995,17.269,92270
2016/11/4,18.169,18.056,18.449,17.709,65175
2016/11/7,18.049,18.595,18.649,17.916,67011
2016/11/8,18.822,18.749,19.095,18.675,68202
2016/11/9,18.702,18.189,18.829,17.982,67356
2016/11/10,18.229,18.116,18.522,17.996,43752
2016/11/11,18.076,17.716,18.109,17.622,56179
2016/11/14,17.916,17.629,17.969,17.562,33925
2016/11/15,17.662,17.596,17.762,17.382,31556
2016/11/16,17.616,18.069,18.096,17.502,43932
2016/11/17,17.996,17.669,18.062,17.596,33857
2016/11/18,17.709,17.749,18.082,17.596,27447
2016/11/21,17.729,17.589,17.869,17.342,27498
2016/11/22,17.696,17.582,17.762,17.496,22416
2016/11/23,17.596,17.769,18.262,17.536,41909
2016/11/24,17.749,17.516,17.769,17.342,28615
2016/11/25,17.349,17.149,17.602,16.676,27063
2016/11/28,17.249,17.049,17.496,16.996,26207
2016/11/29,17.062,16.763,17.322,16.763,23934
2016/11/30,16.323,16.989,17.102,16.216,35587
2016/12/1,17.109,16.889,17.262,16.716,19444
2016/12/2,16.889,16.763,16.962,16.603,14290
2016/12/5,16.756,16.716,16.869,16.329,14913
2016/12/6,16.716,17.229,17.296,16.663,20876
2016/12/7,17.342,17.629,17.842,17.082,54614
2016/12/8,17.616,17.516,17.616,17.136,23816
2016/12/9,17.482,17.256,17.482,17.256,15854
2016/12/12,17.342,16.563,17.602,16.529,26881
2016/12/13,16.463,16.316,16.743,16.016,23934
2016/12/14,16.316,16.189,16.483,16.189,15399
2016/12/15,16.316,16.449,16.869,16.189,14369
2016/12/16,16.496,16.656,16.896,16.483,15942
2016/12/19,16.696,16.869,17.116,16.696,19846
2016/12/20,17.096,17.169,17.556,16.996,28772
2016/12/21,17.096,16.976,17.249,16.809,19525
2016/12/22,16.949,16.769,17.102,16.683,17322
2016/12/23,16.996,16.456,16.996,16.456,18517
2016/12/26,16.456,16.843,16.996,16.276,25391
2016/12/27,17.036,16.962,17.062,16.862,19931
